Date,Open,High,Low,Close,Volume [BRL],Volume [shares],IFR (RSI) [9],True Range [1],Moving Average A [21],Moving Average E [9],IsLocalPeak,IsLocalTrough,derivative_peaks,derivative_troughs,bear_harami,bull_harami,bear_engulfing,bull_engulfing,hammer,shooting_star
2019-04-15,89.94,90.46,89.35,89.81,475522984.7,5289580,37.44,1.11,92.12761904761905,91.37370066822156,0.0,0.0,0.030000000000001137,-0.9466666666666678,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-16,89.8,91.67,89.52,91.0,335995437.4,3697530,45.49,2.15,91.87142857142857,91.29896053457725,1.0,0.0,-0.413333333333334,-0.9466666666666678,0.0,0.0,0.0,1.6219492415253265,0.0,0.0
2019-04-17,91.25,91.64,88.94,90.0,448482651.9,4989980,40.56,2.7,91.58285714285714,91.0391684276618,0.0,1.0,-0.413333333333334,-0.08666666666666838,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-18,90.4,91.81,90.01,91.16,325561210.2,3583690,47.93,1.81,91.43095238095239,91.06333474212944,1.0,0.0,0.07000000000000028,-0.08666666666666838,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-22,91.0,91.63,90.31,91.2,427663027.5,4705250,48.18,1.32,91.34476190476191,91.09066779370355,0.0,0.0,0.07000000000000028,-0.08666666666666838,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-23,91.6,92.88,91.6,92.37,385672841.5,4173940,55.23,1.68,91.44571428571429,91.34653423496285,1.0,0.0,0.5349999999999966,-0.08666666666666838,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-24,92.68,92.68,90.73,91.6,451878350.5,4950530,50.17,1.95,91.5052380952381,91.39722738797028,0.0,1.0,0.5349999999999966,0.44750000000000156,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-25,91.5,93.0,90.77,92.9,381110122.9,4130300,57.55,2.23,91.55238095238097,91.69778191037622,0.0,0.0,0.5349999999999966,0.44750000000000156,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-26,92.8,93.05,92.15,92.63,308646055.1,3333290,55.63,0.9,91.76809523809524,91.88422552830097,0.0,0.0,0.5349999999999966,0.44750000000000156,8.23529411764701,0.0,0.0,0.0,0.0,0.0
2019-04-29,92.96,93.66,92.55,92.72,243036911.3,2609020,56.18,1.11,91.84904761904762,92.05138042264078,1.0,0.0,0.19500000000000028,0.44750000000000156,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-30,92.87,93.26,92.18,92.88,375400231.6,4047930,57.24,1.08,91.9,92.21710433811262,0.0,0.0,0.19500000000000028,0.44750000000000156,0.0,0.0,0.0,0.0,0.0,1.0
2019-05-02,92.19,92.5,91.85,92.08,333543185.9,3620950,50.38,1.03,91.88714285714286,92.1896834704901,0.0,1.0,0.19500000000000028,0.22399999999999806,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-03,92.39,92.9,92.35,92.6,289927298.8,3125500,54.38,0.82,91.92380952380952,92.27174677639208,1.0,0.0,-0.2533333333333303,0.22399999999999806,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-06,91.49,91.65,91.11,91.61,197756914.8,2161810,46.38,1.49,91.94523809523808,92.13939742111367,0.0,0.0,-0.2533333333333303,0.22399999999999806,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-07,91.1,91.1,89.35,90.98,654920359.1,7240150,41.96,2.26,91.8552380952381,91.90751793689094,0.0,1.0,-0.2533333333333303,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-08,91.3,92.85,91.3,92.11,758610722.2,8210830,51.32,1.87,91.78619047619047,91.94801434951275,1.0,0.0,-0.016666666666670455,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-09,91.59,91.75,90.5,91.37,596331898.8,6550810,45.87,1.61,91.67142857142855,91.8324114796102,0.0,0.0,-0.016666666666670455,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-10,91.33,91.45,89.85,90.8,524129955.4,5778000,42.01,1.6,91.58095238095237,91.62592918368816,0.0,0.0,-0.016666666666670455,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-13,89.29,89.57,88.25,88.31,525300765.7,5917070,29.71,2.55,91.38190476190474,90.96274334695053,0.0,0.0,-0.016666666666670455,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-14,90.0,90.07,88.24,88.76,388037998.2,4370970,33.66,1.83,91.25714285714284,90.52219467756044,1.0,0.0,-0.6950000000000003,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-15,87.84,88.43,87.0,87.87,475096843.9,5413870,29.92,1.76,91.17904761904758,89.99175574204835,0.0,0.0,-0.6950000000000003,-0.8333333333333334,0.0,0.0,0.0,0.0,1.0,0.0
2019-05-16,87.61,87.96,86.51,86.56,504208649.8,5774360,25.27,1.45,91.02428571428568,89.30540459363868,0.0,0.0,-0.6950000000000003,-0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-17,86.51,88.07,86.12,86.74,651164643.5,7489250,27.02,1.95,90.82142857142856,88.79232367491095,0.0,1.0,-0.6950000000000003,-0.4037499999999987,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-20,86.77,88.83,86.56,88.83,431658896.1,4908950,44.14,2.27,90.76571428571427,88.79985893992877,0.0,0.0,-0.6950000000000003,-0.4037499999999987,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-21,89.2,91.19,88.63,91.19,594930653.9,6582190,56.96,2.56,90.76714285714286,89.27788715194302,0.0,0.0,-0.6950000000000003,-0.4037499999999987,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-22,92.0,92.0,90.49,90.96,544929006.2,5976970,55.56,1.51,90.75571428571429,89.6143097215544,1.0,0.0,0.3216666666666678,-0.4037499999999987,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-23,90.4,91.15,89.88,90.43,326937994.1,3612770,52.24,1.27,90.66333333333334,89.77744777724352,0.0,1.0,0.3216666666666678,0.9399999999999977,0.0,0.0,0.0,0.0,0.0,1.0
2019-05-24,91.06,91.5,90.12,90.25,310009720.3,3423470,51.07,1.38,90.59904761904761,89.87195822179481,0.0,0.0,0.3216666666666678,0.9399999999999977,0.0,0.0,0.7999999999999985,0.0,0.0,0.0
2019-05-27,90.95,92.0,90.91,91.5,239558369.1,2618760,58.35,1.75,90.53238095238095,90.19756657743585,0.0,0.0,0.3216666666666678,0.9399999999999977,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-28,91.78,93.1,91.29,92.85,436435478.5,4719400,64.72,1.81,90.54285714285714,90.72805326194867,0.0,0.0,0.3216666666666678,0.9399999999999977,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-29,92.43,93.49,92.22,93.06,500212421.9,5373430,65.64,1.27,90.55904761904762,91.19444260955893,0.0,0.0,0.3216666666666678,0.9399999999999977,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-30,93.07,94.4,92.81,93.96,341478250.0,3634050,69.48,1.59,90.61047619047619,91.74755408764715,0.0,0.0,0.3216666666666678,0.9399999999999977,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-31,93.65,94.45,93.25,93.59,481516732.4,5129520,66.06,1.2,90.68238095238095,92.11604327011773,1.0,0.0,0.3500000000000004,0.9399999999999977,14.833333333332781,0.0,0.0,0.0,0.0,1.0
2019-06-03,94.01,94.22,92.89,93.48,363090460.0,3878900,65.0,1.33,90.72428571428571,92.38883461609419,0.0,1.0,0.3500000000000004,0.4300000000000007,0.0,0.0,0.0,0.0,0.0,0.0
